Job Card Planning,Planification des cartes de travail
Planned Employee,Employé.e prévu.e
Planned Employee Name,Nom de l'employé.e prévu.e
Job Card Planning Qty,Quantité prévue et réalisée par carte de travail planifiée
Qty To Produce,Quantité à produire
Qty Produced,Quantité produite
Job Card - Qty To Produce,C.T. - Qté à produire
Job Card - Qty Produced,C.T. - Qté produite
Job Card - Qty To Produce Per Day, C.T. - Qté à produire par jour
Work Order - Status,Statut de l'ordre de travail
Job Card - Status, Statut de la carte de travail
Qty To Manufacture Per Day,Quantité à produire par jour
Qty Tot.,Qté Tot.
Qty p. Day,Qté p/J
